index,x,y,z
304,0.005051,-0.147583,-0.985031
305,0.004669,-0.147125,-0.978119
306,0.005096,-0.15329,-0.984863
307,0.003952,-0.150925,-0.98616
308,0.006454,-0.143417,-0.987274
309,0.007614,-0.149368,-0.992584
310,0.003601,-0.146484,-0.985123
311,0.005463,-0.148331,-0.977448
312,0.004654,-0.154785,-0.986282
313,0.002304,-0.147369,-0.984985
314,0.007477,-0.1483,-0.98645
315,0.005264,-0.149063,-0.994812
316,0.004852,-0.143784,-0.980453
317,0.007446,-0.151642,-0.979996
318,0.001831,-0.152573,-0.988251
319,0.003052,-0.147919,-0.981369
320,0.00827,-0.150238,-0.989731
321,0.003494,-0.144943,-0.992813
322,0.006287,-0.146606,-0.977936
323,0.006592,-0.1521,-0.982132
324,0.001724,-0.149445,-0.983994
325,0.006409,-0.151993,-0.980499
326,0.00502,-0.147598,-0.991974
327,0.003616,-0.143005,-0.989014
328,0.008972,-0.148209,-0.980698
329,0.003555,-0.14798,-0.987198
330,0.003006,-0.151016,-0.983566
331,0.007767,-0.152588,-0.983154
332,0.003738,-0.146423,-0.992096
333,0.005371,-0.147614,-0.987823
334,0.009003,-0.146683,-0.982971
335,0.002045,-0.148193,-0.986755
336,0.00293,-0.152893,-0.979767
337,0.00621,-0.14827,-0.983841
338,0.003876,-0.147858,-0.992142
339,0.007645,-0.149918,-0.985809
340,0.007111,-0.143738,-0.983368
341,0.005051,-0.150391,-0.983109
342,0.004807,-0.154099,-0.980545
343,0.004807,-0.146591,-0.981812
344,0.006226,-0.151901,-0.991135
345,0.007568,-0.14769,-0.988373
346,0.005646,-0.143524,-0.984482
347,0.005707,-0.152817,-0.984467
348,0.003479,-0.151245,-0.978012
349,0.004974,-0.148529,-0.98587
350,0.004944,-0.153046,-0.993179
351,0.005417,-0.143997,-0.987259
352,0.007812,-0.147232,-0.98436
353,0.003555,-0.151566,-0.985519
354,0.003891,-0.148697,-0.97847
355,0.006943,-0.15242,-0.986481
356,0.003464,-0.149612,-0.992325
357,0.005768,-0.14296,-0.984451
358,0.008896,-0.149918,-0.986984
359,0.003021,-0.148178,-0.984268
360,0.005402,-0.149902,-0.9758
361,0.005936,-0.152771,-0.987946
362,0.002151,-0.147339,-0.989609
363,0.008621,-0.146423,-0.9832
364,0.006973,-0.14859,-0.988098
365,0.003128,-0.148071,-0.980438
366,0.006775,-0.152496,-0.975952
367,0.003174,-0.150406,-0.989197
368,0.003571,-0.148209,-0.988388
369,0.008789,-0.147018,-0.98468
370,0.004303,-0.14505,-0.98938
371,0.004715,-0.149963,-0.980515
372,0.006378,-0.150238,-0.979324
373,0.002777,-0.150482,-0.988358
374,0.005096,-0.15065,-0.986191
375,0.006897,-0.144501,-0.986954
376,0.005951,-0.146774,-0.989746
377,0.006195,-0.150101,-0.980316
378,0.003845,-0.148071,-0.980026
379,0.00351,-0.153442,-0.987015
380,0.005768,-0.149704,-0.985321
381,0.005325,-0.142578,-0.98732
382,0.006393,-0.151825,-0.989532
383,0.00621,-0.147552,-0.979706
384,0.003357,-0.146561,-0.977203
385,0.006195,-0.155243,-0.982147
386,0.004501,-0.146912,-0.986526
387,0.00679,-0.146149,-0.989197
388,0.007751,-0.151108,-0.989853
389,0.003601,-0.144745,-0.979141
390,0.006516,-0.151764,-0.980865
391,0.004669,-0.154846,-0.987045
392,0.003311,-0.144241,-0.985001
393,0.00885,-0.148499,-0.990601
394,0.005081,-0.147263,-0.987564
395,0.004898,-0.144272,-0.978851
396,0.006958,-0.154221,-0.984497
397,0.001511,-0.149384,-0.984695
398,0.0047,-0.146072,-0.984177
399,0.007751,-0.148926,-0.990799
400,0.003784,-0.144592,-0.988541
401,0.007385,-0.147476,-0.976608
402,0.004623,-0.15274,-0.986252
403,0.001541,-0.149094,-0.981476
404,0.006943,-0.149979,-0.983505
405,0.0056,-0.148102,-0.993454
406,0.00473,-0.145111,-0.9841
407,0.007599,-0.148605,-0.980865
408,0.003036,-0.149384,-0.983414
409,0.004211,-0.152023,-0.980148
410,0.005569,-0.149765,-0.987137
411,0.005035,-0.147247,-0.993408
412,0.007523,-0.148254,-0.985291
413,0.005386,-0.145767,-0.984665
414,0.002975,-0.152405,-0.985458
415,0.004852,-0.153122,-0.981079
416,0.005295,-0.146957,-0.986557
417,0.005508,-0.150146,-0.992035
418,0.006851,-0.146698,-0.985321
419,0.005295,-0.146652,-0.984406
420,0.004684,-0.154404,-0.984161
421,0.003418,-0.150681,-0.982101
422,0.004761,-0.148041,-0.98555
423,0.006317,-0.151413,-0.990631
424,0.005844,-0.142593,-0.983749
425,0.006516,-0.147339,-0.984558
426,0.00499,-0.153534,-0.983231
427,0.00264,-0.1465,-0.978195
428,0.005981,-0.152374,-0.98613
429,0.005859,-0.148758,-0.992355
430,0.005508,-0.1418,-0.982666
431,0.007935,-0.150452,-0.987244
432,0.00238,-0.148987,-0.982529
433,0.004211,-0.147079,-0.977127
434,0.007721,-0.154312,-0.989594
435,0.004257,-0.145065,-0.990479
436,0.006744,-0.144348,-0.983917
437,0.007416,-0.150681,-0.989609
438,0.003357,-0.146988,-0.982361
439,0.006882,-0.150909,-0.976822
440,0.006424,-0.153015,-0.991501
441,0.002991,-0.14357,-0.985977
442,0.009262,-0.148209,-0.985947
443,0.006058,-0.1483,-0.989166
444,0.004303,-0.149185,-0.976608
445,0.006958,-0.151794,-0.97998
446,0.002914,-0.148972,-0.991028
447,0.00502,-0.146378,-0.985352
448,0.007919,-0.146576,-0.986038
449,0.005203,-0.146667,-0.986893
450,0.005554,-0.149399,-0.977142
451,0.005142,-0.149948,-0.980576
452,0.002411,-0.150681,-0.987045
453,0.005707,-0.148712,-0.986069
454,0.006531,-0.144699,-0.988098
455,0.005798,-0.147888,-0.987946
456,0.006378,-0.147537,-0.977707
457,0.004532,-0.149597,-0.98259
458,0.00412,-0.154129,-0.98732
459,0.005478,-0.146469,-0.985504
460,0.005905,-0.143967,-0.989563
461,0.006256,-0.149948,-0.988907
462,0.004715,-0.145767,-0.979492
463,0.005569,-0.15126,-0.982391
464,0.004852,-0.152725,-0.987854
465,0.003204,-0.143906,-0.986023
466,0.006973,-0.147202,-0.99115
467,0.005493,-0.147278,-0.988327
468,0.004654,-0.145355,-0.978165
469,0.007095,-0.154984,-0.98233
470,0.00209,-0.14888,-0.985596
471,0.006104,-0.145477,-0.98407
472,0.008102,-0.149841,-0.991562
473,0.003891,-0.143738,-0.984329
474,0.007553,-0.146835,-0.976761
475,0.006332,-0.152969,-0.985474
476,0.001663,-0.146851,-0.983627
477,0.007614,-0.147903,-0.986526
478,0.006836,-0.147461,-0.994827
479,0.004135,-0.142471,-0.983963
480,0.007507,-0.149826,-0.981232
481,0.003555,-0.150726,-0.985367
482,0.003235,-0.148254,-0.982224
483,0.007294,-0.149429,-0.989899
484,0.003693,-0.144409,-0.993118
485,0.007095,-0.144928,-0.981934
486,0.00856,-0.149048,-0.9823
487,0.002625,-0.149796,-0.983002
488,0.004929,-0.149673,-0.979523
489,0.006454,-0.147522,-0.989609
490,0.004578,-0.144928,-0.990646
491,0.008102,-0.146362,-0.982346
492,0.005783,-0.146866,-0.981903
493,0.003952,-0.151764,-0.979691
494,0.004715,-0.150345,-0.979034
495,0.0056,-0.147552,-0.990005
496,0.006622,-0.148163,-0.991562
497,0.006668,-0.14357,-0.983582
498,0.006271,-0.148804,-0.983566
499,0.005203,-0.152939,-0.982468
500,0.004211,-0.147766,-0.981461
501,0.005753,-0.149872,-0.992645
502,0.005432,-0.148911,-0.993347
503,0.00647,-0.143341,-0.983917
504,0.007324,-0.150879,-0.985153
505,0.003693,-0.151993,-0.981033
506,0.004089,-0.147797,-0.978409
507,0.004974,-0.151688,-0.992111
508,0.003235,-0.144257,-0.989075
509,0.007309,-0.143478,-0.981979
510,0.0065,-0.151901,-0.987091
511,0.002289,-0.147812,-0.977448
512,0.006393,-0.150986,-0.980255
513,0.003845,-0.151749,-0.992004
514,0.003204,-0.142273,-0.986435
515,0.008987,-0.147919,-0.984711
516,0.005341,-0.149094,-0.988037
517,0.002258,-0.147186,-0.975662
518,0.007187,-0.153397,-0.983017
519,0.002869,-0.147903,-0.992828
520,0.005539,-0.143951,-0.985596
521,0.008041,-0.146805,-0.987534
522,0.003555,-0.145294,-0.985947
523,0.005646,-0.14978,-0.974884
524,0.006302,-0.151031,-0.984604
525,0.003006,-0.146179,-0.990738
526,0.007401,-0.145828,-0.98819
527,0.006989,-0.144623,-0.987534
528,0.002533,-0.146606,-0.981644
529,0.007233,-0.150482,-0.974854
530,0.004684,-0.148331,-0.984528
531,0.003723,-0.147644,-0.989182
532,0.007187,-0.1436,-0.986603
533,0.005936,-0.143372,-0.989349
534,0.005173,-0.14859,-0.983109
535,0.005478,-0.148117,-0.976196
536,0.003708,-0.149445,-0.983246
537,0.004501,-0.150681,-0.989166
538,0.006668,-0.143082,-0.987183
539,0.006577,-0.14563,-0.990875
540,0.006027,-0.147827,-0.984283
541,0.005142,-0.146332,-0.976059
542,0.004227,-0.153824,-0.986649
543,0.003769,-0.149017,-0.988525
544,0.006729,-0.144485,-0.987579
545,0.007629,-0.148926,-0.993301
546,0.004471,-0.145523,-0.983154
547,0.005905,-0.147751,-0.976822
548,0.004974,-0.152878,-0.98819
549,0.002289,-0.146194,-0.987244
550,0.008224,-0.147003,-0.988129
551,0.005066,-0.14653,-0.992905
552,0.003525,-0.144287,-0.977539
553,0.007111,-0.150452,-0.980682
554,0.002975,-0.149536,-0.986145
555,0.003189,-0.146194,-0.979385
556,0.007751,-0.147415,-0.988876
557,0.003067,-0.144516,-0.990585
558,0.006241,-0.145767,-0.978378
559,0.006531,-0.15004,-0.97963
560,0.001663,-0.149216,-0.983444
561,0.006271,-0.149017,-0.981873
562,0.00708,-0.146729,-0.993744
